t, e, s
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.402805611222444894e-05,3.000000000000000000e+00,8.358072847444039666e-02
2.805611222444889788e-05,3.000000000000000000e+00,1.659971672534944487e-01
4.208416833667334852e-05,3.000000000000000000e+00,2.472655350339780511e-01
5.611222444889779577e-05,3.000000000000000000e+00,3.274018245842914565e-01
7.014028056112224302e-05,3.000000000000000000e+00,4.064218058916292398e-01
8.416833667334669704e-05,3.000000000000000000e+00,4.843410292653496652e-01
9.819639278557113751e-05,3.000000000000000000e+00,5.611748283971137452e-01
1.122244488977955915e-04,3.000000000000000000e+00,6.369383233783958431e-01
1.262525050100200320e-04,3.000000000000000000e+00,7.116464236759605377e-01
1.402805611222444860e-04,3.000000000000000000e+00,7.853138310658897003e-01
1.543086172344689401e-04,3.000000000000000000e+00,8.579550425267401526e-01
1.683366733466933941e-04,3.000000000000000000e+00,9.295843530923963982e-01
1.823647294589178481e-04,3.000000000000000000e+00,1.000215858665186364e+00
1.963927855711422750e-04,3.000000000000000000e+00,1.069863458789805932e+00
2.104208416833667290e-04,3.000000000000000000e+00,1.138540859388607052e+00
2.244488977955911831e-04,3.000000000000000000e+00,1.206261575458778434e+00
2.384769539078156371e-04,3.000000000000000000e+00,1.273038933731957201e+00
2.525050100200400640e-04,3.000000000000000000e+00,1.338886075296790601e+00
2.665330661322645451e-04,3.000000000000000000e+00,1.403815958184966295e+00
2.805611222444889721e-04,3.000000000000000000e+00,1.467841359921216116e+00
2.945891783567134532e-04,3.000000000000000000e+00,1.530974880037801800e+00
3.086172344689378801e-04,3.000000000000000000e+00,1.593228942553970739e+00
3.226452905811623070e-04,3.000000000000000000e+00,1.654615798420874029e+00
3.366733466933867882e-04,3.000000000000000000e+00,1.715147527932425309e+00
3.507014028056112151e-04,3.000000000000000000e+00,1.774836043102577587e+00
3.647294589178356962e-04,3.000000000000000000e+00,1.833693090009483440e+00
3.787575150300601231e-04,3.000000000000000000e+00,1.891730251107000216e+00
3.927855711422845500e-04,3.000000000000000000e+00,1.948958947503997674e+00
4.068136272545090312e-04,3.000000000000000000e+00,2.005390441211910790e+00
4.208416833667334581e-04,3.000000000000000000e+00,2.061035837360988943e+00
4.348697394789579392e-04,3.000000000000000000e+00,2.115906086385669571e+00
4.488977955911823661e-04,3.000000000000000000e+00,2.170011986179507080e+00
4.629258517034067931e-04,3.000000000000000000e+00,2.223364184220089079e+00
4.769539078156312742e-04,3.000000000000000000e+00,2.275973179664346979e+00
4.909819639278557553e-04,3.000000000000000000e+00,2.327849325414681481e+00
5.050100200400801280e-04,3.000000000000000000e+00,2.379002830156306203e+00
5.190380761523046092e-04,3.000000000000000000e+00,2.429443760366210459e+00
5.330661322645290903e-04,3.000000000000000000e+00,2.479182042294135524e+00
5.470941883767534630e-04,3.000000000000000000e+00,2.528227463915960094e+00
5.611222444889779441e-04,3.000000000000000000e+00,2.576589676859869726e+00
5.751503006012024253e-04,3.000000000000000000e+00,2.624278198305698417e+00
5.891783567134269064e-04,3.000000000000000000e+00,2.671302412857808672e+00
6.032064128256512791e-04,3.000000000000000000e+00,2.717671574391884892e+00
6.172344689378757602e-04,3.000000000000000000e+00,2.763394807875999781e+00
6.312625250501002414e-04,3.000000000000000000e+00,2.808481111166313049e+00
6.452905811623246141e-04,3.000000000000000000e+00,2.852939356777755897e+00
6.593186372745490952e-04,3.000000000000000000e+00,2.896778293630048573e+00
6.733466933867735763e-04,3.000000000000000000e+00,2.940006548769398265e+00
6.873747494989979490e-04,3.000000000000000000e+00,2.982632629066210406e+00
7.014028056112224302e-04,3.000000000000000000e+00,3.024664922889152674e+00
7.154308617234469113e-04,3.000000000000000000e+00,3.066111701755899865e+00
7.294589178356713924e-04,3.000000000000000000e+00,3.106981121960879832e+00
7.434869739478957651e-04,3.000000000000000000e+00,3.147281226180348668e+00
7.575150300601202463e-04,3.000000000000000000e+00,3.187019945055109105e+00
7.715430861723447274e-04,3.000000000000000000e+00,3.226205098751169675e+00
7.855711422845691001e-04,3.000000000000000000e+00,3.264844398498680356e+00
7.995991983967935812e-04,3.000000000000000000e+00,3.302945448109417814e+00
8.136272545090180624e-04,3.000000000000000000e+00,3.340515745473137788e+00
8.276553106212424351e-04,3.000000000000000000e+00,3.377562684033081020e+00
8.416833667334669162e-04,3.000000000000000000e+00,3.414093554240926309e+00
8.557114228456913973e-04,3.000000000000000000e+00,3.450115544991475769e+00
8.697394789579158784e-04,3.000000000000000000e+00,3.485635745037352962e+00
8.837675350701402512e-04,3.000000000000000000e+00,3.520661144383998575e+00
8.977955911823647323e-04,3.000000000000000000e+00,3.555198635665226981e+00
9.118236472945892134e-04,3.000000000000000000e+00,3.589255015499628332e+00
9.258517034068135861e-04,3.000000000000000000e+00,3.622836985828068901e+00
9.398797595190380673e-04,3.000000000000000000e+00,3.655951155232567196e+00
9.539078156312625484e-04,3.000000000000000000e+00,3.688604040236789228e+00
9.679358717434870295e-04,3.000000000000000000e+00,3.720802066588437818e+00
9.819639278557115106e-04,3.000000000000000000e+00,3.752551570523767310e+00
9.959919839679358834e-04,3.000000000000000000e+00,3.783858800014493706e+00
1.010020040080160256e-03,3.000000000000000000e+00,3.814729915997328913e+00
1.024048096192384846e-03,3.000000000000000000e+00,3.845170993586386476e+00
1.038076152304609218e-03,3.000000000000000000e+00,3.875188023268703930e+00
1.052104208416833591e-03,3.000000000000000000e+00,3.904786912083107353e+00
1.066132264529058181e-03,3.000000000000000000e+00,3.933973484782652630e+00
1.080160320641282553e-03,3.000000000000000000e+00,3.962753484980882313e+00
1.094188376753506926e-03,3.000000000000000000e+00,3.991132576282100608e+00
1.108216432865731516e-03,3.000000000000000000e+00,4.019116343395920055e+00
1.122244488977955888e-03,3.000000000000000000e+00,4.046710293236266409e+00
1.136272545090180261e-03,3.000000000000000000e+00,4.073919856005090878e+00
1.150300601202404851e-03,3.000000000000000000e+00,4.100750386260965996e+00
1.164328657314629223e-03,3.000000000000000000e+00,4.127207163972816950e+00
1.178356713426853813e-03,3.000000000000000000e+00,4.153295395558961545e+00
1.192384769539078185e-03,3.000000000000000000e+00,4.179020214911675524e+00
1.206412825651302558e-03,3.000000000000000000e+00,4.204386684407494634e+00
1.220440881763527148e-03,3.000000000000000000e+00,4.229399795903432846e+00
1.234468937875751520e-03,3.000000000000000000e+00,4.254064471719329887e+00
1.248496993987975893e-03,3.000000000000000000e+00,4.278385565606514618e+00
1.262525050100200483e-03,3.000000000000000000e+00,4.302367863702967199e+00
1.276553106212424855e-03,3.000000000000000000e+00,4.326016085475188788e+00
1.290581162324649228e-03,3.000000000000000000e+00,4.349334884646935073e+00
1.304609218436873818e-03,3.000000000000000000e+00,4.372328850115028587e+00
1.318637274549098190e-03,3.000000000000000000e+00,4.395002506852397239e+00
1.332665330661322563e-03,3.000000000000000000e+00,4.417360316798552233e+00
1.346693386773547153e-03,3.000000000000000000e+00,4.439406679737641248e+00
1.360721442885771525e-03,3.000000000000000000e+00,4.461145934164287397e+00
1.374749498997995898e-03,3.000000000000000000e+00,4.482582358137353395e+00
1.388777555110220488e-03,3.000000000000000000e+00,4.503720170121829014e+00
1.402805611222444860e-03,3.000000000000000000e+00,4.524563529818967034e+00
1.416833667334669450e-03,3.000000000000000000e+00,4.545116538984881771e+00
1.430861723446893823e-03,3.000000000000000000e+00,4.565383242237724737e+00
1.444889779559118195e-03,3.000000000000000000e+00,4.585367627853626615e+00
1.458917835671342785e-03,3.000000000000000000e+00,4.605073628551546783e+00
1.472945891783567158e-03,3.000000000000000000e+00,4.624505122267192014e+00
1.486973947895791530e-03,3.000000000000000000e+00,4.643665932916153594e+00
1.501002004008016120e-03,3.000000000000000000e+00,4.662559831146415590e+00
