t, s
0.000000000000000000e+00,0.000000000000000000e+00
6.006006006006005873e-05,-3.577423059902505847e-03
1.201201201201201175e-04,-1.418348844711358157e-02
1.801801801801801830e-04,-3.161356099685785903e-02
2.402402402402402349e-04,-5.564354812908448022e-02
3.003003003003002869e-04,-8.603116020012165077e-02
3.603603603603603659e-04,-1.225172057753768917e-01
4.204204204204203908e-04,-1.648269163788790570e-01
4.804804804804804698e-04,-2.126712952996612505e-01
5.405405405405405489e-04,-2.657484850779234242e-01
6.006006006006005737e-04,-3.237451483549947939e-01
6.606606606606605986e-04,-3.863378568496869669e-01
7.207207207207207318e-04,-4.531944833189991972e-01
7.807807807807807567e-04,-5.239755914725612307e-01
8.408408408408407815e-04,-5.983358189369093472e-01
9.009009009009009148e-04,-6.759252485068593108e-01
9.609609609609609396e-04,-7.563907630760350331e-01
1.021021021021021073e-03,-8.393773798061453517e-01
1.081081081081081098e-03,-9.245295592739832813e-01
1.141141141141141123e-03,-1.011492485525425922e+00
1.201201201201201147e-03,-1.099913313166007933e+00
1.261261261261261172e-03,-1.189442377826969821e+00
1.321321321321321197e-03,-1.279734366563086034e+00
1.381381381381381439e-03,-1.370449444963093510e+00
1.441441441441441464e-03,-1.461254337984197349e+00
1.501501501501501488e-03,-1.551823361757961317e+00
1.561561561561561513e-03,-1.641839403854924218e+00
1.621621621621621538e-03,-1.730994849738583863e+00
1.681681681681681563e-03,-1.818992453384992825e+00
1.741741741741741805e-03,-1.905546150291195673e+00
1.801801801801801830e-03,-1.990381811343190366e+00
1.861861861861861854e-03,-2.073237936261131509e+00
1.921921921921921879e-03,-2.153866285585218865e+00
1.981981981981982121e-03,-2.232032450409311863e+00
2.042042042042042146e-03,-2.307516359309958798e+00
2.102102102102102171e-03,-2.380112722155399485e+00
2.162162162162162195e-03,-2.449631410711524016e+00
2.222222222222222220e-03,-2.515897776188908530e+00
2.282282282282282245e-03,-2.578752904096359710e+00
2.342342342342342270e-03,-2.638053806981062177e+00
2.402402402402402295e-03,-2.693673555843014711e+00
2.462462462462462320e-03,-2.745501351211235175e+00
2.522522522522522345e-03,-2.793442535060769671e+00
2.582582582582582369e-03,-2.837418544932348574e+00
2.642642642642642394e-03,-2.877366811790156298e+00
2.702702702702702853e-03,-2.913240603317178934e+00
2.762762762762762878e-03,-2.945008814501696381e+00
2.822822822822822902e-03,-2.972655707512270151e+00
2.882882882882882927e-03,-2.996180602991872721e+00
2.942942942942942952e-03,-3.015597525024328540e+00
3.003003003003002977e-03,-3.030934802137816853e+00
3.063063063063063002e-03,-3.042234626810702114e+00
3.123123123123123027e-03,-3.049552576034309403e+00
3.183183183183183051e-03,-3.052957095565363765e+00
3.243243243243243076e-03,-3.052528950567717114e+00
3.303303303303303101e-03,-3.048360645398647595e+00
3.363363363363363126e-03,-3.040555815339561541e+00
3.423423423423423151e-03,-3.029228593104433820e+00
3.483483483483483609e-03,-3.014502952981932715e+00
3.543543543543543634e-03,-2.996512035479083291e+00
3.603603603603603659e-03,-2.975397455335706542e+00
3.663663663663663684e-03,-2.951308595770039567e+00
3.723723723723723709e-03,-2.924401891797081543e+00
3.783783783783783734e-03,-2.894840105432700206e+00
3.843843843843843758e-03,-2.862791595558682012e+00
3.903903903903903783e-03,-2.828429585177032024e+00
3.963963963963964242e-03,-2.791931428726400544e+00
4.024024024024024267e-03,-2.753477882069811589e+00
4.084084084084084292e-03,-2.713252377691436568e+00
4.144144144144144316e-03,-2.671440307561347538e+00
4.204204204204204341e-03,-2.628228316041490320e+00
4.264264264264264366e-03,-2.583803605114013191e+00
4.324324324324324391e-03,-2.538353254115015112e+00
4.384384384384384416e-03,-2.492063556053290885e+00
4.444444444444444441e-03,-2.445119372485177855e+00
4.504504504504504465e-03,-2.397703508803703976e+00
4.564564564564564490e-03,-2.349996111683389621e+00
4.624624624624624515e-03,-2.302174090301775777e+00
4.684684684684684540e-03,-2.254410562835552412e+00
4.744744744744744565e-03,-2.206874329603537799e+00
4.804804804804804590e-03,-2.159729374101253985e+00
4.864864864864864615e-03,-2.113134393042901849e+00
4.924924924924924639e-03,-2.067242356396694181e+00
4.984984984984984664e-03,-2.022200098269244961e+00
5.045045045045044689e-03,-1.978147939364460539e+00
5.105105105105104714e-03,-1.935219341612665067e+00
5.165165165165164739e-03,-1.893540595436924878e+00
5.225225225225224764e-03,-1.853230539996151505e+00
5.285285285285284788e-03,-1.814400316619009246e+00
5.345345345345344813e-03,-1.777153155519305860e+00
5.405405405405405705e-03,-1.741584195762802656e+00
5.465465465465465730e-03,-1.707780338337617998e+00
5.525525525525525755e-03,-1.675820132065952928e+00
5.585585585585585780e-03,-1.645773691984072418e+00
5.645645645645645805e-03,-1.617702649710645701e+00
5.705705705705705830e-03,-1.591660135220958949e+00
5.765765765765765855e-03,-1.567690789346434688e+00
5.825825825825825879e-03,-1.545830806225576115e+00
5.885885885885885904e-03,-1.526108004844091148e+00
5.945945945945945929e-03,-1.508541928718781344e+00
6.006006006006005954e-03,-1.493143972701934885e+00
6.066066066066065979e-03,-1.479917535810621132e+00
6.126126126126126004e-03,-1.468858198918558067e+00
6.186186186186186028e-03,-1.459953926087230514e+00
6.246246246246246053e-03,-1.453185288257740737e+00
6.306306306306306078e-03,-1.448525707975550025e+00
6.366366366366366103e-03,-1.445941723776845045e+00
6.426426426426426128e-03,-1.445393272827758979e+00
6.486486486486486153e-03,-1.446833990376076073e+00
6.546546546546546178e-03,-1.450211524549336772e+00
6.606606606606606202e-03,-1.455467865013384321e+00
6.666666666666666227e-03,-1.462539683991267658e+00
6.726726726726726252e-03,-1.471358688133999948e+00
6.786786786786786277e-03,-1.481851979731797497e+00
6.846846846846846302e-03,-1.493942425757027959e+00
6.906906906906906327e-03,-1.507549033238005265e+00
6.966966966966967219e-03,-1.522587329475833196e+00
7.027027027027027244e-03,-1.538969745634565678e+00
7.087087087087087268e-03,-1.556606002257816090e+00
7.147147147147147293e-03,-1.575403495292432954e+00
7.207207207207207318e-03,-1.595267681231739898e+00
7.267267267267267343e-03,-1.616102460026918930e+00
7.327327327327327368e-03,-1.637810554455140011e+00
7.387387387387387393e-03,-1.660293884676799614e+00
7.447447447447447418e-03,-1.683453936761465153e+00
7.507507507507507442e-03,-1.707192124012574475e+00
7.567567567567567467e-03,-1.731410139974382645e+00
7.627627627627627492e-03,-1.756010302060774020e+00
7.687687687687687517e-03,-1.780895884804163165e+00
7.747747747747747542e-03,-1.805971441783451814e+00
7.807807807807807567e-03,-1.831143115352706463e+00
7.867867867867868459e-03,-1.856318933356520207e+00
7.927927927927928484e-03,-1.881409092083731860e+00
7.987987987987988509e-03,-1.906326224777954215e+00
8.048048048048048533e-03,-1.930985655091026043e+00
8.108108108108108558e-03,-1.955305634933709014e+00
8.168168168168168583e-03,-1.979207566246505401e+00
8.228228228228228608e-03,-2.002616206282094247e+00
8.288288288288288633e-03,-2.025459856059331099e+00
8.348348348348348658e-03,-2.047670531716786702e+00
8.408408408408408682e-03,-2.069184118561191887e+00
8.468468468468468707e-03,-2.089940507672678915e+00
8.528528528528528732e-03,-2.109883714994131854e+00
8.588588588588588757e-03,-2.128961982896098171e+00
8.648648648648648782e-03,-2.147127864271364039e+00
8.708708708708708807e-03,-2.164338289274260418e+00
8.768768768768768831e-03,-2.180554614878865483e+00
8.828828828828828856e-03,-2.195742657487364191e+00
8.888888888888888881e-03,-2.209872708874728531e+00
8.948948948948948906e-03,-2.222919535808462133e+00
9.009009009009008931e-03,-2.234862363732278645e+00
9.069069069069068956e-03,-2.245684844950142534e+00
9.129129129129128981e-03,-2.255375011791961981e+00
9.189189189189189005e-03,-2.263925215284309012e+00
9.249249249249249030e-03,-2.271332049888780347e+00
9.309309309309309055e-03,-2.277596264906880386e+00
9.369369369369369080e-03,-2.282722663183616607e+00
9.429429429429429105e-03,-2.286719987772241502e+00
9.489489489489489130e-03,-2.289600797249746744e+00
9.549549549549549154e-03,-2.291381330396784932e+00
9.609609609609609179e-03,-2.292081360976650384e+00
9.669669669669669204e-03,-2.291724043365789498e+00
9.729729729729729229e-03,-2.290335749803047438e+00
9.789789789789789254e-03,-2.287945900036508551e+00
9.849849849849849279e-03,-2.284586784155393069e+00
9.909909909909909304e-03,-2.280293379400050391e+00
9.969969969969969328e-03,-2.275103161745741343e+00
1.003003003003002935e-02,-2.269055913055610940e+00
1.009009009009008938e-02,-2.262193524595184968e+00
1.015015015015014940e-02,-2.254559797694860812e+00
1.021021021021020943e-02,-2.246200242338362685e+00
1.027027027027026945e-02,-2.237161874444059340e+00
1.033033033033032948e-02,-2.227493012592487442e+00
1.039039039039038950e-02,-2.217243074937516045e+00
1.045045045045044953e-02,-2.206462377020434573e+00
1.051051051051050955e-02,-2.195201931185948752e+00
1.057057057057056958e-02,-2.183513248276767627e+00
1.063063063063062960e-02,-2.171448142259289948e+00
1.069069069069068963e-02,-2.159058538406958494e+00
1.075075075075074965e-02,-2.146396285640305823e+00
1.081081081081081141e-02,-2.133512973593680861e+00
1.087087087087087144e-02,-2.120459754948273101e+00
1.093093093093093146e-02,-2.107287173539487135e+00
1.099099099099099149e-02,-2.094044998714066796e+00
1.105105105105105151e-02,-2.080782066378831896e+00
1.111111111111111154e-02,-2.067546127148552682e+00
1.117117117117117156e-02,-2.054383701965510678e+00
1.123123123123123158e-02,-2.041339945527839816e+00
1.129129129129129161e-02,-2.028458517827913088e+00
1.135135135135135163e-02,-2.015781464065981243e+00
1.141141141141141166e-02,-2.003349103168146961e+00
1.147147147147147168e-02,-1.991199925101651669e+00
1.153153153153153171e-02,-1.979370497144531837e+00
1.159159159159159173e-02,-1.967895379231056285e+00
1.165165165165165176e-02,-1.956807048459151765e+00
1.171171171171171178e-02,-1.946135832811318522e+00
1.177177177177177181e-02,-1.935909854106492745e+00
1.183183183183183183e-02,-1.926154980167003927e+00
1.189189189189189186e-02,-1.916894786152320451e+00
1.195195195195195188e-02,-1.908150524979756568e+00
1.201201201201201191e-02,-1.899941106721832584e+00
1.207207207207207193e-02,-1.892283086840613304e+00
1.213213213213213196e-02,-1.885190663091178331e+00
1.219219219219219198e-02,-1.878675680899471789e+00
1.225225225225225201e-02,-1.872747646994204818e+00
1.231231231231231203e-02,-1.867413751048309756e+00
1.237237237237237206e-02,-1.862678895062700457e+00
1.243243243243243208e-02,-1.858545730203858826e+00
1.249249249249249211e-02,-1.855014700787050552e+00
1.255255255255255213e-02,-1.852084095078831760e+00
1.261261261261261216e-02,-1.849750102575952182e+00
1.267267267267267218e-02,-1.848006877402828874e+00
1.273273273273273221e-02,-1.846846607456451794e+00
1.279279279279279223e-02,-1.846259588915919014e+00
1.285285285285285226e-02,-1.846234305723765567e+00
1.291291291291291228e-02,-1.846757513637865999e+00
1.297297297297297231e-02,-1.847814328445920751e+00
1.303303303303303233e-02,-1.849388317929398617e+00
1.309309309309309236e-02,-1.851461597160248163e+00
1.315315315315315238e-02,-1.854014926711708311e+00
1.321321321321321240e-02,-1.857027813364103608e+00
1.327327327327327243e-02,-1.860478612887570549e+00
1.333333333333333245e-02,-1.864344634486179819e+00
